state,county,population,white,all_workers,public_transit,bike,walked,all_female_marital,female_married,poverty_status_denominator,in_poverty,median_income,housing_units,housing_units_single_detached,housing_units_single_attached
48,489,22056,20837,5481,0,45,105,7759,3862,19613,7447,27627,7073,5598,101
48,491,457218,377874,220962,1368,532,2025,180053,101211,452400,34223,72118,168568,124804,3525
48,493,44609,40694,20219,45,0,247,17916,10450,43748,4988,65760,16880,11782,151
48,495,7404,6525,3134,2,0,46,2858,1569,7275,867,52938,3018,2575,21
48,497,60413,57106,26498,15,0,223,23780,14309,59162,6058,56338,23843,15518,387
48,499,42431,38654,15348,34,0,422,18087,10187,40860,5948,44376,20890,15468,160
48,501,8054,7112,3544,0,0,47,3015,1764,8028,872,50167,2991,2335,6
48,503,18374,17345,8160,0,0,59,7466,4116,18134,3049,41589,8632,6689,83
48,505,14231,13983,5017,13,0,180,5159,2643,14179,5173,30758,6217,3685,4
48,507,12013,11076,4399,7,0,133,4268,2196,11707,3783,27253,4286,2887,78
49,001,6514,6067,2702,9,0,75,2274,1392,6358,824,50685,2922,2481,84
49,003,50613,47157,21231,166,87,352,18206,11967,50126,4803,57336,17756,14091,540
49,005,115954,105162,52893,967,924,2264,42909,24623,111942,17670,50367,38200,26076,2285
49,007,21118,19419,8958,39,48,172,8288,4772,20414,2885,46366,9586,7007,121
49,009,714,671,200,2,0,2,249,155,599,58,47188,1153,675,7
49,011,317646,285897,143686,3783,473,1929,113891,71788,315894,24683,70388,100341,75635,5711
49,013,19378,17617,7662,30,24,275,6811,4686,18987,1918,60700,9634,6774,175
49,015,10834,10534,4131,41,22,94,3992,2637,10755,1219,50653,4496,3303,65
49,017,5105,4875,2076,0,10,192,1942,1197,4915,668,44914,3767,3023,8
49,019,9348,8689,4651,17,261,254,3759,1687,9242,1507,44239,4964,2926,161
49,021,46725,42722,18500,88,264,957,17622,9427,45658,10422,42305,19879,11829,1034
49,023,10349,9816,4235,19,39,163,3613,2286,10195,1442,56976,3531,3120,23
49,025,7221,6785,3177,0,10,163,2989,1745,7122,608,51213,5843,4810,117
49,027,12582,11167,5216,12,13,149,4520,2990,12428,1548,51117,4936,4274,25
49,029,9955,9662,4044,0,5,70,3490,2541,9951,473,79304,3136,2858,162
49,031,1921,1870,674,0,10,24,792,407,1878,526,33250,910,807,0
49,033,2285,2210,771,2,0,63,786,535,2270,265,50573,2872,2057,55
49,035,1063670,887112,513504,18217,4219,10622,402649,218702,1049104,135780,61446,369805,236820,22490
49,037,14944,7364,4657,21,15,298,5495,2702,14602,4097,41411,5778,4169,70
49,039,28129,25355,9927,34,54,524,10179,5839,25158,4061,48305,10390,8917,45
49,041,20812,19774,8170,59,62,165,7692,4570,20269,2989,46327,8492,7056,126
49,043,37877,35868,19795,427,121,220,14355,9085,37748,3175,89886,26929,16125,2052
49,045,59973,55483,25481,726,83,644,21059,12552,59181,5169,63077,19925,15540,1091
49,047,34576,30191,14751,114,223,204,12055,7533,34135,3980,62363,12453,8754,499
49,049,540425,495181,227230,3811,2764,9378,189998,112733,527939,72693,60830,152545,101816,14143
49,051,25550,24688,11369,43,39,218,9090,5899,25380,2087,65582,11058,9070,732
49,053,144844,134475,54169,181,368,1457,55969,34283,142942,22131,49498,59797,44362,3857
49,055,2742,2655,1259,16,0,91,996,695,2705,477,43393,1609,1373,0
49,057,236307,206886,107214,1999,456,1649,88869,50877,233200,30524,56216,87027,61315,4468
50,001,36883,35138,18932,164,112,1518,15843,7902,34198,3481,59274,16843,12458,442
50,003,36739,35396,17295,55,83,950,16124,8108,35248,5010,49303,20929,14938,481
50,005,31109,30045,14637,76,1,724,13056,6794,29958,4211,45089,16011,11129,202
50,007,158686,145904,85423,2127,1751,6404,69253,31739,149230,16823,64243,66482,35918,4913
50,009,6231,6023,2636,3,5,112,2637,1397,6193,1044,35567,5022,4112,12
50,011,48226,46015,24719,151,20,803,19775,10964,47701,4790,57159,21786,15662,649
50,013,6979,6641,3701,45,9,76,2965,1752,6977,552,61338,5107,4080,55
50,015,24843,23896,12681,43,34,532,10218,5247,24175,3151,50447,13094,8720,508
50,017,28927,27994,14905,94,61,613,12245,6857,28222,3957,53114,14918,11655,153
50,019,27160,26254,11886,15,21,283,11256,5623,26231,4388,41437,16359,12228,124
50,021,60864,59066,29476,220,75,1571,26463,13549,58610,7655,48308,33771,22664,561
50,023,59333,57057,30839,384,133,1822,25242,12876,57002,5868,58293,30056,19422,1487
50,025,44050,41817,21957,192,91,1283,19168,9964,42608,5182,50526,29806,19513,2201
50,027,56328,54139,27832,240,82,1075,24514,13244,55318,5932,53610,34148,23170,639
51,001,33165,22736,14257,80,104,533,14249,7616,32646,6697,39389,21054,14852,474
51,003,101883,83125,46682,835,194,1480,44304,22139,94466,9162,67958,43128,26164,4623
51,005,16133,15053,6571,44,9,74,6998,3891,15836,2250,45183,8066,6524,70
51,007,12764,9258,5618,40,0,48,5410,3099,12658,1210,55870,5400,4034,100
51,009,32237,24770,14643,150,9,417,14291,7136,31337,3509,44765,14044,10805,273
51,011,15137,11673,6303,0,0,14,6541,3693,14983,2732,47927,7006,5546,40
51,013,220173,158046,140315,37939,2091,7095,94698,39768,217382,19115,105120,108021,28523,10465
51,015,73707,68577,34146,96,18,477,30397,18525,69988,6536,54018,31550,25764,482
51,017,4644,4260,2160,1,0,141,2032,1327,4559,426,46153,3403,2894,30
51,019,75607,68143,34965,166,22,205,31957,18853,75046,7638,56043,35308,27157,1261
51,021,6727,6402,2454,0,0,43,2559,1593,5790,784,43508,3265,2314,37
51,023,33105,31172,15734,38,0,76,13998,9124,32784,2350,63011,14628,12489,289
51,025,16961,7072,6267,80,0,97,6868,3051,14848,3491,37028,8164,5498,71
51,027,23683,22760,7148,18,22,87,10063,5460,22612,5427,29678,11508,7278,113
51,029,17072,10627,5908,50,0,51,6284,3385,14382,3189,38484,7255,4881,28
51,031,54833,45000,25109,20,26,146,23701,12812,54287,8035,47055,24953,17740,673
51,033,29057,19323,13241,110,14,258,11897,6095,27281,3411,58417,11857,9982,276
51,035,29881,29203,12365,45,25,79,12730,7682,29703,5502,33495,16599,12216,147
51,036,7154,3001,3174,60,0,35,3156,1458,7130,972,48088,3263,2716,41
51,037,12399,8333,4883,51,2,120,5159,2656,12217,2359,34820,6288,4440,81
51,041,324337,224705,159162,1180,235,799,135822,71809,319272,23079,72514,124384,97517,5843
51,043,14273,12887,6863,26,16,235,6126,3312,14001,1336,75508,6259,5543,128
51,045,5206,5037,2174,2,14,6,2142,1271,5186,541,46658,2868,2185,0
51,047,47910,36998,21457,166,0,319,18705,10745,46262,4465,65235,17869,13673,1503
51,049,9916,6255,4279,4,0,25,4169,2048,9854,1827,41484,4641,3599,23
51,051,15612,15376,4735,0,7,122,6374,3703,15270,3080,33106,7548,4362,48
51,053,27993,18137,12279,28,0,127,11829,5651,27353,3755,52328,11504,9371,36
51,057,11166,6566,5056,11,32,199,4881,2391,11059,1366,42143,5779,4090,64
51,059,1117072,705991,596445,56365,1886,10895,455040,257919,1107694,66251,112102,409108,196441,94511
51,061,66726,58451,33471,430,0,583,27389,15755,66268,3835,92078,25905,21484,1863
51,063,15452,14809,7144,0,0,125,6412,3730,15375,1623,47543,7868,5827,126
51,065,25945,20917,11598,15,0,24,11778,6705,24687,1594,64641,10541,9740,70
51,067,56360,50315,24402,45,0,743,23943,14252,54812,7943,44827,29386,21027,618
51,069,80377,73235,39253,118,26,351,32648,19711,79161,4641,68719,31877,24414,2802
51,071,17025,16438,7330,8,33,103,7320,3974,16844,2236,45919,8324,6342,32
51,073,36938,32333,17780,52,43,138,15709,9072,36649,3157,60980,15993,12959,568
51,075,21627,16950,10050,41,9,27,9229,6004,19997,1235,82460,8726,8124,123
51,077,15255,14682,5899,53,0,108,6791,3912,14926,3019,28892,9155,6658,33
51,079,18766,16783,8711,33,0,62,7545,4477,18603,2111,63739,7790,6692,79
51,081,11911,4549,3480,24,0,25,3735,1895,8231,1649,38933,4118,2981,64
51,083,35704,21649,13700,51,2,160,15615,7801,34914,7052,35093,18041,13400,101
51,085,100689,87003,50553,226,58,776,42071,25019,98562,5418,77550,39026,33953,1197
51,087,314878,186687,156492,1594,226,1326,136088,63760,311822,33436,61438,133795,85046,11220
51,089,52960,39126,20686,86,0,45,23249,12188,52375,9328,34344,26188,18541,388
51,091,2258,2254,954,0,0,138,1024,642,2247,281,44132,1942,1683,11
51,093,35518,25377,17099,7,0,139,15143,9083,35251,3977,65910,14912,11122,646
51,095,69832,56253,31059,217,173,301,29999,17314,68972,5835,76705,30943,20363,3567
51,097,7073,4860,3303,3,0,0,2975,1774,7073,800,47804,3440,2869,33
51,099,24577,18809,12239,134,14,123,9565,5476,24296,1400,83071,9627,7687,486
51,101,16045,12326,8003,13,0,74,6590,3918,15969,1869,63560,6597,5871,74
